genre_ids,original_language,popularity,release_date,title,vote_average,vote_count
"[18, 80]",en,10.177,2010-09-20,Wall Street: Money Never Sleeps,6.0,797
"[18, 53, 878]",en,10.175,2010-10-29,Monsters,6.2,848
"[878, 35, 12]",en,10.15,2010-03-26,Hot Tub Time Machine,6.0,1383
"[16, 35, 10751, 80, 9648]",en,10.1,2010-02-19,A Matter of Loaf and Death,7.2,219
"[18, 35, 10749]",en,10.09,2010-11-24,Love & Other Drugs,6.9,2509
"[14, 18, 10751]",en,10.068,2010-06-25,16 Wishes,5.9,688
"[18, 10749, 878]",en,10.012,2010-09-15,Never Let Me Go,6.8,1294
"[35, 18]",en,10.01,2010-10-08,It's Kind of a Funny Story,7.0,1324
[18],en,9.991,2010-08-12,Eat Pray Love,6.0,1208
"[35, 18, 10749]",en,9.986,2010-05-27,Sex and the City 2,5.9,809
"[35, 80, 18]",en,9.968,2010-11-05,Four Lions,7.0,621
"[35, 14, 10749]",en,9.926,2010-01-29,When in Rome,5.9,703
"[28, 35, 18]",en,9.861,2010-03-19,The Bounty Hunter,5.7,1627
[18],en,9.824,2010-06-11,Winter's Bone,6.9,931
"[18, 10749]",en,9.818999999999999,2010-02-10,Waiting for Forever,5.7,172
"[18, 27, 9648, 53]",en,9.808,2010-10-08,My Soul to Take,5.4,247
"[27, 9648, 53]",en,9.795,2010-04-30,A Nightmare on Elm Street,5.5,1408
"[10749, 18]",en,9.781,2010-08-06,Flipped,7.4,859
"[18, 27, 9648]",en,9.716000000000001,2010-10-01,Let Me In,6.7,1061
"[18, 53]",en,9.693,2010-06-15,Unthinkable,6.7,623
[53],en,9.677999999999999,2010-02-05,Frozen,5.8,987
"[28, 35, 80, 53]",en,9.565,2010-01-19,Smokin' Aces 2: Assassins' Ball,5.4,141
"[14, 18]",en,9.562999999999999,2010-09-24,Enter the Void,7.3,773
"[80, 27]",en,9.55,2010-07-16,Bereavement,5.3,71
[99],en,9.514,2010-10-08,Inside Job,7.8,466
"[80, 53]",en,9.496,2010-09-23,Mother's Day,6.4,193
"[27, 53]",en,9.467,1976-11-03,Carrie,7.1,1766
"[18, 10749]",en,9.454,2010-05-01,Charlie St. Cloud,6.9,1398
"[35, 10751]",en,9.45,2010-04-02,Furry Vengeance,4.6,283
"[80, 35, 18]",en,9.432,2010-12-17,Casino Jack,6.1,149
"[35, 10749, 10770, 10402]",en,9.406,2010-02-14,Starstruck,6.7,627
"[10749, 35]",en,9.405,2010-04-18,Beauty & the Briefcase,5.5,250
"[18, 27, 9648, 53]",en,9.395,2009-11-07,After.Life,5.7,416
"[35, 18]",en,9.394,2010-12-29,Another Year,7.0,150
"[35, 18, 10749]",en,9.394,2010-05-14,Letters to Juliet,6.9,1706
[18],en,9.389,2010-12-16,Rabbit Hole,6.8,292
"[28, 35]",en,9.355,2010-10-29,Wild Target,6.4,356
"[27, 18, 53]",en,9.35,2010-08-27,The Last Exorcism,5.6,519
"[53, 18]",en,9.261000000000001,2010-07-15,The Experiment,6.5,553
"[16, 10751, 35]",de,9.258,2010-10-07,Animals United,5.4,151
"[18, 28, 35, 53, 80]",en,9.253,2010-01-08,Bitch Slap,4.7,148
"[10749, 35]",fr,9.241,2010-09-10,Heartbreaker,6.6,761
"[18, 10751, 10749]",en,9.237,2010-03-31,The Last Song,7.2,2199
[35],it,9.187999999999999,2010-12-20,Welcome to the South,6.7,1071
"[35, 27]",en,9.158999999999999,2010-01-22,Tucker and Dale vs. Evil,7.3,1427
"[35, 10751, 16, 12]",en,9.096,2010-12-17,Yogi Bear,5.3,387
"[80, 18, 53]",en,9.087,2010-04-30,The Disappearance of Alice Creed,6.6,280
[18],en,9.071,2010-04-14,You Don't Know Jack,7.0,176
[18],en,9.059,2010-10-08,Secretariat,7.0,200
"[80, 18, 53]",en,9.042,2010-09-01,The American,5.8,690
"[18, 10749]",en,8.994,2010-12-29,Blue Valentine,6.9,1677
"[35, 27]",en,8.992,2010-08-18,Vampires Suck,4.1,658
"[18, 10752, 9648]",fr,8.972999999999999,2010-09-04,Incendies,8.1,1034
"[28, 80, 18, 53]",en,8.969,2010-08-26,Takers,6.2,605
"[16, 35, 878]",en,8.956,2010-05-23,"Family Guy Presents: Something, Something, Something, Dark Side",7.1,194
"[28, 12, 16, 10751, 878]",en,8.884,2010-09-28,Superman/Batman: Apocalypse,7.0,291
"[878, 28]",en,8.847000000000001,2010-11-12,Skyline,4.8,833
"[28, 35, 80]",en,8.82,2010-02-26,Cop Out,5.4,796
"[18, 53, 9648]",en,8.807,2010-03-26,Chloe,5.9,940
"[18, 27, 878]",en,8.799,2010-10-01,Stake Land,6.2,415
"[10752, 18, 36, 28]",ru,8.769,2010-11-11,Fortress of War,7.3,75
"[99, 10751]",en,8.762,2010-11-03,Cave of Forgotten Dreams,7.3,143
"[12, 27, 53]",en,8.741,2010-04-27,The Descent: Part 2,6.0,480
"[28, 12, 53]",en,8.729,2010-08-24,Titanic 2,3.2,90
"[28, 12, 16, 27]",en,8.711,2010-02-09,Dante's Inferno: An Animated Epic,6.0,102
"[28, 80, 53]",fr,8.697000000000001,2010-03-24,22 Bullets,6.5,508
[99],en,8.696,2010-01-24,Exit Through the Gift Shop,7.7,467
"[18, 10749]",es,8.682,2010-11-11,Room in Rome,6.1,236
"[18, 10749]",en,8.676,2010-11-23,Burlesque,7.1,1195
"[35, 18]",en,8.595,2010-03-14,Elektra Luxx,4.9,74
"[18, 53, 80]",ja,8.582,2010-07-05,Cold Fish,6.6,113
"[14, 18, 27, 10749]",de,8.57,2010-11-11,We Are the Night,6.2,129
"[18, 10749]",en,8.531,2010-06-25,Elena Undone,7.2,81
"[53, 27]",en,8.517000000000001,2010-01-28,The Final,5.6,131
"[27, 35, 53]",en,8.513,2010-10-01,Hatchet II,5.5,160
[35],en,8.504,2010-01-26,Louis C.K.: Hilarious,8.0,127
"[80, 53, 35, 9648]",en,8.503,2010-01-01,Ca$h,5.8,112
"[10751, 35]",en,8.487,2010-06-04,Marmaduke,5.1,367
[35],en,8.485,2010-06-04,Get Him to the Greek,5.9,980
"[10749, 878]",en,8.482999999999999,2010-07-15,Womb,6.1,159
"[18, 80]",en,8.469,2010-11-12,London Boulevard,5.9,409
"[53, 18, 28, 80]",en,8.46,2010-07-30,Twelve,5.9,147
"[14, 18, 28, 53, 16]",ja,8.436,2010-09-23,Redline,7.4,110
"[35, 18]",en,8.426,2010-07-09,The Kids Are All Right,6.6,854
"[28, 12, 14, 27]",en,8.419,2010-11-05,BloodRayne: The Third Reich,3.7,83
"[9648, 53]",it,8.414,2010-04-20,Peacock,6.1,104
"[14, 27, 53]",en,8.405,2010-11-06,Don't Be Afraid of the Dark,5.5,550
"[16, 18]",fr,8.404,2010-12-25,The Illusionist,7.4,280
"[18, 53]",en,8.401,2010-10-22,Stone,5.2,334
[18],en,8.347999999999999,2010-10-29,Welcome to the Rileys,6.5,241
"[35, 18, 14, 27, 9648]",en,8.318999999999999,2010-09-01,Rubber,5.9,417
"[53, 28, 18]",en,8.282,2010-09-01,Bunraku,5.9,161
"[35, 18, 10749]",en,8.281,2010-09-03,Going the Distance,6.0,394
"[27, 53]",es,8.267999999999999,2010-10-29,Julia's Eyes,6.7,415
"[12, 14, 28, 37, 53]",en,8.259,2010-12-03,The Warrior's Way,6.1,203
"[18, 10749]",en,8.244,2010-09-18,Last Night,6.1,444
"[35, 18, 9648]",en,8.215,2010-01-22,Get Low,6.7,135
"[35, 18, 10749]",it,8.202,2010-04-28,Loose Cannons,7.4,310
"[18, 10402]",en,8.19,2010-03-19,The Runaways,6.4,448
"[18, 10749]",en,8.176,2010-06-23,Bloomington,6.6,65
"[27, 53]",en,8.163,2010-10-21,Paranormal Activity 2,5.7,1342
"[12, 16, 10751, 35]",en,8.142000000000001,2010-08-24,Tom and Jerry Meet Sherlock Holmes,6.6,19
"[18, 28, 53, 80]",fr,8.131,2010-08-27,Mesrine: Killer Instinct,7.4,434
"[28, 27, 878]",en,8.129,2010-12-21,Mega Shark vs. Crocosaurus,2.7,60
"[16, 18, 878, 53]",en,8.113,2010-05-12,Metropia,6.3,82
[18],en,8.109,2010-10-21,The Company Men,6.6,349
"[16, 10751, 35, 12, 10749]",en,8.107999999999999,2010-09-17,Alpha and Omega,5.4,227
"[10770, 18, 10751, 14]",en,8.097999999999999,2010-11-12,Avalon High,6.1,313
"[27, 53]",en,8.086,2010-10-05,30 Days of Night: Dark Days,4.7,218
"[16, 35, 10751]",en,8.052999999999999,2010-12-13,Minions: Orientation Day,6.9,117
"[16, 28, 878]",en,8.052999999999999,2010-02-02,Planet Hulk,6.7,185
"[18, 53]",en,8.007,2010-03-12,13,5.7,392
"[27, 878]",en,7.9639999999999995,2010-05-28,Survival of the Dead,4.8,199
[18],it,7.959,2010-10-10,The Solitude of Prime Numbers,5.8,218
"[18, 28, 53]",zh,7.9479999999999995,2010-02-04,14 Blades,6.6,87
"[10751, 16]",en,7.947,2010-09-14,Barbie: A Fashion Fairytale,6.8,228
"[27, 35, 878, 53, 10770, 28]",en,7.943,2010-09-25,Sharktopus,4.4,69
"[18, 27, 53]",en,7.938,2010-08-17,Burning Bright,6.0,113
"[18, 14]",en,7.886,2010-10-22,Hereafter,5.9,848
"[18, 9648, 53, 80, 10749]",en,7.871,2010-12-03,All Good Things,6.0,493
"[18, 28, 35, 80]",en,7.8629999999999995,2010-02-26,Defendor,6.4,295
"[27, 28, 53, 878]",en,7.841,2010-10-07,The Dead,5.7,89
"[16, 10751]",en,7.835,2010-06-17,Day & Night,7.7,438
"[28, 35, 80]",hi,7.831,2010-09-10,Dabangg,6.2,73
"[53, 9648]",en,7.829,2010-02-12,The Ghost Writer,6.8,1135
"[18, 28, 53]",en,7.8260000000000005,2010-10-01,Inhale,6.1,63
[35],fr,7.825,2010-02-16,Le Mac,5.7,144
"[18, 53]",en,7.814,2005-11-11,Derailed,6.2,500
"[35, 10749]",en,7.775,2010-03-12,She's Out of My League,6.1,970
[27],en,7.761,2010-02-02,Triangle,6.8,1094
"[18, 35]",en,7.7589999999999995,2012-03-02,Boy,7.5,149
[35],fr,7.756,2010-12-03,All That Glitters,6.4,456
"[35, 10749, 18]",en,7.745,2010-08-20,The Switch,6.1,1008
"[35, 18, 10749]",en,7.735,2010-06-18,Cyrus,6.0,201
"[35, 10749]",fr,7.7010000000000005,2010-06-29,The Perfect Date,5.6,118
"[28, 53, 80, 18]",fr,7.7,2010-09-03,Mesrine: Public Enemy #1,7.4,404
[35],en,7.699,2010-08-20,Lottery Ticket,5.7,92
[18],es,7.697,2010-12-28,Biutiful,7.2,546
"[28, 12, 18, 36, 10752]",de,7.676,2010-02-11,The Red Baron,6.5,111
"[35, 18, 10749]",en,7.676,2010-09-10,The Romantics,4.9,145
"[28, 12, 35]",en,7.666,2010-05-21,MacGruber,5.3,270
"[27, 9648, 53]",en,7.662999999999999,2010-10-19,Mirrors 2,5.5,182
"[27, 53, 9648]",en,7.662999999999999,2010-01-29,Kill Theory,5.3,58
"[36, 28]",zh,7.621,2010-09-01,Reign of Assassins,6.8,87
"[18, 10749]",hi,7.619,2010-02-12,My Name Is Khan,7.8,409
"[18, 28]",no,7.6160000000000005,2010-12-20,King of Devil's Island,7.3,96
"[28, 35, 12]",zh,7.607,2010-02-14,Little Big Soldier,6.8,123
"[35, 18]",en,7.596,2010-12-22,Somewhere,6.1,376
"[35, 18, 10749]",en,7.57,2010-03-26,Greenberg,5.9,280
"[18, 10749, 10402]",en,7.567,2010-12-22,Country Strong,6.3,126
"[10402, 14, 28, 10751]",en,7.566,2010-11-24,The Nutcracker in 3D,5.5,97
"[99, 10751]",en,7.532,2010-04-21,Oceans,7.2,167
[18],en,7.51,2010-10-15,Conviction,7.2,297
"[18, 12, 36]",en,7.502999999999999,2010-09-03,The Way Back,6.9,759
"[10751, 12]",en,7.452000000000001,2010-11-23,The Search for Santa Paws,5.9,85
"[35, 10751]",en,7.442,2010-07-23,Ramona and Beezus,6.3,460
[18],fr,7.394,2010-11-11,Student Services,4.8,67
