genre_ids,original_language,popularity,release_date,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,total_gross
[99],en,0.6,2015-11-01,Edge of Darkness,7.0,1,WB,43300000.0,37800000.0,2010,81100000.0
"[35, 10749]",en,11.187000000000001,2010-02-11,Valentine's Day,5.8,1907,WB (NL),110500000.0,106000000.0,2010,216500000.0
"[10749, 18, 53, 80]",en,11.147,2010-11-19,The Next Three Days,7.0,1469,LGF,21100000.0,46300000.0,2010,67400000.0
"[18, 53, 9648]",en,10.888,2010-09-24,Buried,6.6,1487,LGF,1000000.0,18100000.0,2010,19100000.0
"[35, 12, 10751, 14]",en,10.767999999999999,2010-12-25,Gulliver's Travels,5.1,1282,Fox,42800000.0,194600000.0,2010,237400000.0
"[16, 12, 10751, 14]",en,10.754000000000001,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,6.6,1223,WB,55700000.0,84400000.0,2010,140100000.0
"[28, 35, 10751]",en,10.745999999999999,2010-01-15,The Spy Next Door,5.7,650,LGF,24300000.0,20900000.0,2010,45200000.0
"[35, 18, 10749]",en,10.595,2010-11-10,Morning Glory,6.3,717,Par.,31000000.0,29000000.0,2010,60000000.0
"[53, 80, 18, 28]",en,10.555,2010-04-30,Harry Brown,6.8,505,Gold.,1800000.0,8500000.0,2010,10300000.0
"[35, 10751, 28, 14]",en,10.544,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,4.9,273,WB,43600000.0,68900000.0,2010,112500000.0
[18],en,10.395,2010-12-17,The Fighter,7.3,2325,Par.,93600000.0,35600000.0,2010,129200000.0
"[28, 53, 10749]",en,10.307,2010-12-10,The Tourist,6.1,3133,Sony,67600000.0,210700000.0,2010,278300000.0
"[28, 35, 53, 10749]",en,10.221,2010-06-04,Killers,5.8,1314,LGF,47100000.0,51100000.0,2010,98200000.0
"[35, 10749]",en,10.208,2010-09-24,You Again,6.2,734,BV,25700000.0,6300000.0,2010,32000000.0
"[27, 9648, 53]",en,10.203,2010-09-17,Devil,5.9,1516,Uni.,33600000.0,29100000.0,2010,62700000.0
"[28, 12, 80, 9648, 53]",en,10.202,2010-04-23,The Losers,6.2,844,WB,23600000.0,5800000.0,2010,29400000.0
"[18, 53, 80, 9648]",en,10.187999999999999,2010-08-13,Animal Kingdom,6.8,399,SPC,1000000.0,5700000.0,2010,6700000.0
"[18, 80]",en,10.177,2010-09-20,Wall Street: Money Never Sleeps,6.0,797,Fox,52500000.0,82300000.0,2010,134800000.0
"[18, 53, 878]",en,10.175,2010-10-29,Monsters,6.2,848,Magn.,237000.0,4000000.0,2010,4237000.0
"[12, 18, 878]",en,1.122,2015-10-28,Monsters,7.4,5,Magn.,237000.0,4000000.0,2010,4237000.0
"[878, 35, 12]",en,10.15,2010-03-26,Hot Tub Time Machine,6.0,1383,MGM,50300000.0,14300000.0,2010,64600000.0
"[18, 10749, 878]",en,10.012,2010-09-15,Never Let Me Go,6.8,1294,FoxS,2400000.0,7000000.0,2010,9400000.0
"[35, 18]",en,10.01,2010-10-08,It's Kind of a Funny Story,7.0,1324,Focus,6400000.0,128000.0,2010,6528000.0
[18],en,9.991,2010-08-12,Eat Pray Love,6.0,1208,Sony,80600000.0,124000000.0,2010,204600000.0
"[35, 18, 10749]",en,9.986,2010-05-27,Sex and the City 2,5.9,809,WB (NL),95300000.0,193000000.0,2010,288300000.0
"[35, 80, 18]",en,9.968,2010-11-05,Four Lions,7.0,621,Drft.,305000.0,4400000.0,2010,4705000.0
"[35, 14, 10749]",en,9.926,2010-01-29,When in Rome,5.9,703,BV,32700000.0,10400000.0,2010,43100000.0
"[28, 35, 18]",en,9.861,2010-03-19,The Bounty Hunter,5.7,1627,Sony,67099999.0,69300000.0,2010,136399999.0
[18],en,9.824,2010-06-11,Winter's Bone,6.9,931,RAtt.,6500000.0,7300000.0,2010,13800000.0
"[18, 27, 9648, 53]",en,9.808,2010-10-08,My Soul to Take,5.4,247,Uni.,14700000.0,6200000.0,2010,20900000.0
"[10749, 18]",en,9.781,2010-08-06,Flipped,7.4,859,WB,1800000.0,652000000.0,2010,653800000.0
"[18, 53]",en,0.9620000000000001,2015-12-15,Flipped,7.0,2,WB,1800000.0,652000000.0,2010,653800000.0
"[18, 27, 9648]",en,9.716000000000001,2010-10-01,Let Me In,6.7,1061,Over.,12100000.0,12000000.0,2010,24100000.0
[18],en,0.675,2016-06-20,Let Me In,7.0,2,Over.,12100000.0,12000000.0,2010,24100000.0
[53],en,9.677999999999999,2010-02-05,Frozen,5.8,987,BV,400700000.0,875700000.0,2013,1276400000.0
"[16, 12, 10751]",en,26.183000000000003,2013-11-27,Frozen,7.3,9767,BV,400700000.0,875700000.0,2013,1276400000.0
"[14, 18]",en,9.562999999999999,2010-09-24,Enter the Void,7.3,773,IFC,336000.0,418000.0,2010,754000.0
[99],en,9.514,2010-10-08,Inside Job,7.8,466,SPC,4300000.0,3600000.0,2010,7900000.0
"[80, 53]",en,9.496,2010-09-23,Mother's Day,6.4,193,ORF,32500000.0,15900000.0,2016,48400000.0
"[35, 18, 10749]",en,6.822,2016-04-29,Mother's Day,5.9,782,ORF,32500000.0,15900000.0,2016,48400000.0
"[18, 10749]",en,9.454,2010-05-01,Charlie St. Cloud,6.9,1398,Uni.,31200000.0,17000000.0,2010,48200000.0
"[35, 10751]",en,9.45,2010-04-02,Furry Vengeance,4.6,283,Sum.,17600000.0,18600000.0,2010,36200000.0
"[80, 35, 18]",en,9.432,2010-12-17,Casino Jack,6.1,149,ATO,1000000.0,40700.0,2010,1040700.0
"[18, 27, 9648, 53]",en,9.395,2009-11-07,After.Life,5.7,416,Anch.,109000.0,1900000.0,2010,2009000.0
"[35, 18]",en,9.394,2010-12-29,Another Year,7.0,150,SPC,3200000.0,16500000.0,2010,19700000.0
[18],ru,1.004,2014-03-08,Another Year,6.3,4,SPC,3200000.0,16500000.0,2010,19700000.0
"[35, 18, 10749]",en,9.394,2010-05-14,Letters to Juliet,6.9,1706,Sum.,53000000.0,26100000.0,2010,79100000.0
[18],en,9.389,2010-12-16,Rabbit Hole,6.8,292,LGF,2200000.0,2900000.0,2010,5100000.0
"[28, 35]",en,9.355,2010-10-29,Wild Target,6.4,356,Free,109000.0,3300000.0,2010,3409000.0
"[27, 18, 53]",en,9.35,2010-08-27,The Last Exorcism,5.6,519,LGF,41000000.0,26700000.0,2010,67700000.0
"[18, 28, 35, 53, 80]",en,9.253,2010-01-08,Bitch Slap,4.7,148,Free,17400.0,182000.0,2010,199400.0
"[10749, 35]",fr,9.241,2010-09-10,Heartbreaker,6.6,761,IFC,504000.0,46900000.0,2010,47404000.0
"[18, 10751, 10749]",en,9.237,2010-03-31,The Last Song,7.2,2199,BV,63000000.0,26100000.0,2010,89100000.0
"[35, 10751, 16, 12]",en,9.096,2010-12-17,Yogi Bear,5.3,387,WB,100200000.0,101300000.0,2010,201500000.0
"[80, 18, 53]",en,9.087,2010-04-30,The Disappearance of Alice Creed,6.6,280,Anch.,167000.0,701000.0,2010,868000.0
[18],en,9.059,2010-10-08,Secretariat,7.0,200,BV,59700000.0,537000.0,2010,60237000.0
"[80, 18, 53]",en,9.042,2010-09-01,The American,5.8,690,Focus,35600000.0,32299999.0,2010,67899999.0
"[18, 10749]",en,8.994,2010-12-29,Blue Valentine,6.9,1677,Wein.,9700000.0,2600000.0,2010,12300000.0
"[18, 10749]",en,8.994,2010-12-29,Blue Valentine,6.9,1677,Wein.,9700000.0,2600000.0,2010,12300000.0
"[35, 27]",en,8.992,2010-08-18,Vampires Suck,4.1,658,Fox,36700000.0,43900000.0,2010,80600000.0
"[28, 80, 18, 53]",en,8.969,2010-08-26,Takers,6.2,605,SGem,57700000.0,11300000.0,2010,69000000.0
"[878, 28]",en,8.847000000000003,2010-11-12,Skyline,4.8,833,Uni.,21400000.0,45400000.0,2010,66800000.0
"[28, 35, 80]",en,8.82,2010-02-26,Cop Out,5.4,796,WB,44900000.0,10700000.0,2010,55600000.0
"[18, 53, 9648]",en,8.807,2010-03-26,Chloe,5.9,940,SPC,3100000.0,8600000.0,2010,11700000.0
"[18, 27, 878]",en,8.799,2010-10-01,Stake Land,6.2,415,IFC,33200.0,652000000.0,2011,652033200.0
"[99, 10751]",en,8.762,2010-11-03,Cave of Forgotten Dreams,7.3,143,IFC,5300000.0,1200000.0,2011,6500000.0
"[28, 80, 53]",fr,8.697000000000001,2010-03-24,22 Bullets,6.5,508,Cdgm.,415000000.0,21300000.0,2013,436300000.0
[99],en,8.696,2010-01-24,Exit Through the Gift Shop,7.7,467,PDA,3300000.0,2000000.0,2010,5300000.0
"[18, 10749]",en,8.676,2010-11-23,Burlesque,7.1,1195,SGem,39400000.0,50100000.0,2010,89500000.0
"[10751, 35]",en,8.487,2010-06-04,Marmaduke,5.1,367,Fox,33600000.0,50100000.0,2010,83700000.0
[35],en,8.485,2010-06-04,Get Him to the Greek,5.9,980,Uni.,61000000.0,30300000.0,2010,91300000.0
"[18, 80]",en,8.469,2010-11-12,London Boulevard,5.9,409,IFC,16100.0,4600000.0,2011,4616100.0
"[53, 18, 28, 80]",en,8.46,2010-07-30,Twelve,5.9,147,Hann.,184000.0,2400000.0,2010,2584000.0
"[35, 18]",en,8.426,2010-07-09,The Kids Are All Right,6.6,854,Focus,20800000.0,13900000.0,2010,34700000.0
"[14, 27, 53]",en,8.405,2010-11-06,Don't Be Afraid of the Dark,5.5,550,FD,24000000.0,12900000.0,2011,36900000.0
"[18, 53]",en,8.401,2010-10-22,Stone,5.2,334,Over.,1800000.0,7700000.0,2010,9500000.0
"[53, 18]",ru,2.84,2012-06-06,Stone,4.9,8,Over.,1800000.0,7700000.0,2010,9500000.0
[18],en,8.347999999999999,2010-10-29,Welcome to the Rileys,6.5,241,Gold.,159000.0,158000.0,2010,317000.0
"[35, 18, 14, 27, 9648]",en,8.318999999999999,2010-09-01,Rubber,5.9,417,Magn.,100000.0,652000000.0,2011,652100000.0
"[35, 18, 14, 27, 9648]",en,8.318999999999999,2010-09-01,Rubber,5.9,417,Magn.,100000.0,652000000.0,2011,652100000.0
